driverCode,branchCode,fullName,phone,email,licenseNumber,licenseExpiry,status,safetyScore,readinessScore,riskScore,complianceScore
CLHQ-D-0001,CL-HQ,Certification Driver CLHQ 0001,'+1-555-010-0001,cert.driver.clhq.0001@example.invalid,•••• 0001,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0002,CL-HQ,Certification Driver CLHQ 0002,'+1-555-010-0002,cert.driver.clhq.0002@example.invalid,•••• 0002,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0003,CL-HQ,Certification Driver CLHQ 0003,'+1-555-010-0003,cert.driver.clhq.0003@example.invalid,•••• 0003,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0004,CL-HQ,Certification Driver CLHQ 0004,'+1-555-010-0004,cert.driver.clhq.0004@example.invalid,•••• 0004,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0005,CL-HQ,Certification Driver CLHQ 0005,'+1-555-010-0005,cert.driver.clhq.0005@example.invalid,•••• 0005,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0006,CL-HQ,Certification Driver CLHQ 0006,'+1-555-010-0006,cert.driver.clhq.0006@example.invalid,•••• 0006,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0007,CL-HQ,Certification Driver CLHQ 0007,'+1-555-010-0007,cert.driver.clhq.0007@example.invalid,•••• 0007,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0008,CL-HQ,Certification Driver CLHQ 0008,'+1-555-010-0008,cert.driver.clhq.0008@example.invalid,•••• 0008,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0009,CL-HQ,Certification Driver CLHQ 0009,'+1-555-010-0009,cert.driver.clhq.0009@example.invalid,•••• 0009,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0010,CL-HQ,Certification Driver CLHQ 0010,'+1-555-010-0010,cert.driver.clhq.0010@example.invalid,•••• 0010,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0011,CL-HQ,Certification Driver CLHQ 0011,'+1-555-010-0011,cert.driver.clhq.0011@example.invalid,•••• 0011,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0012,CL-HQ,Certification Driver CLHQ 0012,'+1-555-010-0012,cert.driver.clhq.0012@example.invalid,•••• 0012,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0013,CL-HQ,Certification Driver CLHQ 0013,'+1-555-010-0013,cert.driver.clhq.0013@example.invalid,•••• 0013,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0014,CL-HQ,Certification Driver CLHQ 0014,'+1-555-010-0014,cert.driver.clhq.0014@example.invalid,•••• 0014,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0015,CL-HQ,Certification Driver CLHQ 0015,'+1-555-010-0015,cert.driver.clhq.0015@example.invalid,•••• 0015,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0016,CL-HQ,Certification Driver CLHQ 0016,'+1-555-010-0016,cert.driver.clhq.0016@example.invalid,•••• 0016,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0017,CL-HQ,Certification Driver CLHQ 0017,'+1-555-010-0017,cert.driver.clhq.0017@example.invalid,•••• 0017,,Available,92.00,93.00,10.00,95.00
CLHQ-D-0018,CL-HQ,Certification Driver CLHQ 0018,'+1-555-010-0018,cert.driver.clhq.0018@example.invalid,•••• 0018,,Available,92.00,93.00,10.00,95.00
