driverCode,branchCode,fullName,phone,email,licenseNumber,status
MWYARD-D-0001,MW-YARD,Certification Driver MWYARD 0001,+1-555-010-0001,cert.driver.mwyard.0001@example.invalid,CERT-LIC-MWYARD-0001,Available
MWYARD-D-0002,MW-YARD,Certification Driver MWYARD 0002,+1-555-010-0002,cert.driver.mwyard.0002@example.invalid,CERT-LIC-MWYARD-0002,Available
MWYARD-D-0003,MW-YARD,Certification Driver MWYARD 0003,+1-555-010-0003,cert.driver.mwyard.0003@example.invalid,CERT-LIC-MWYARD-0003,Available
MWYARD-D-0004,MW-YARD,Certification Driver MWYARD 0004,+1-555-010-0004,cert.driver.mwyard.0004@example.invalid,CERT-LIC-MWYARD-0004,Available
MWYARD-D-0005,MW-YARD,Certification Driver MWYARD 0005,+1-555-010-0005,cert.driver.mwyard.0005@example.invalid,CERT-LIC-MWYARD-0005,Available
MWYARD-D-0006,MW-YARD,Certification Driver MWYARD 0006,+1-555-010-0006,cert.driver.mwyard.0006@example.invalid,CERT-LIC-MWYARD-0006,Available
MWYARD-D-0007,MW-YARD,Certification Driver MWYARD 0007,+1-555-010-0007,cert.driver.mwyard.0007@example.invalid,CERT-LIC-MWYARD-0007,Available
MWYARD-D-0008,MW-YARD,Certification Driver MWYARD 0008,+1-555-010-0008,cert.driver.mwyard.0008@example.invalid,CERT-LIC-MWYARD-0008,Available
MWYARD-D-0009,MW-YARD,Certification Driver MWYARD 0009,+1-555-010-0009,cert.driver.mwyard.0009@example.invalid,CERT-LIC-MWYARD-0009,Available
MWYARD-D-0010,MW-YARD,Certification Driver MWYARD 0010,+1-555-010-0010,cert.driver.mwyard.0010@example.invalid,CERT-LIC-MWYARD-0010,Available
MWYARD-D-0011,MW-YARD,Certification Driver MWYARD 0011,+1-555-010-0011,cert.driver.mwyard.0011@example.invalid,CERT-LIC-MWYARD-0011,Available
MWYARD-D-0012,MW-YARD,Certification Driver MWYARD 0012,+1-555-010-0012,cert.driver.mwyard.0012@example.invalid,CERT-LIC-MWYARD-0012,Available
MWYARD-D-0013,MW-YARD,Certification Driver MWYARD 0013,+1-555-010-0013,cert.driver.mwyard.0013@example.invalid,CERT-LIC-MWYARD-0013,Available
MWYARD-D-0014,MW-YARD,Certification Driver MWYARD 0014,+1-555-010-0014,cert.driver.mwyard.0014@example.invalid,CERT-LIC-MWYARD-0014,Available
MWYARD-D-0015,MW-YARD,Certification Driver MWYARD 0015,+1-555-010-0015,cert.driver.mwyard.0015@example.invalid,CERT-LIC-MWYARD-0015,Available
MWYARD-D-0016,MW-YARD,Certification Driver MWYARD 0016,+1-555-010-0016,cert.driver.mwyard.0016@example.invalid,CERT-LIC-MWYARD-0016,Available
MWYARD-D-0017,MW-YARD,Certification Driver MWYARD 0017,+1-555-010-0017,cert.driver.mwyard.0017@example.invalid,CERT-LIC-MWYARD-0017,Available
MWYARD-D-0018,MW-YARD,Certification Driver MWYARD 0018,+1-555-010-0018,cert.driver.mwyard.0018@example.invalid,CERT-LIC-MWYARD-0018,Available
MWYARD-D-0019,MW-YARD,Certification Driver MWYARD 0019,+1-555-010-0019,cert.driver.mwyard.0019@example.invalid,CERT-LIC-MWYARD-0019,Available
MWYARD-D-0020,MW-YARD,Certification Driver MWYARD 0020,+1-555-010-0020,cert.driver.mwyard.0020@example.invalid,CERT-LIC-MWYARD-0020,Available
MWYARD-D-0021,MW-YARD,Certification Driver MWYARD 0021,+1-555-010-0021,cert.driver.mwyard.0021@example.invalid,CERT-LIC-MWYARD-0021,Available
MWYARD-D-0022,MW-YARD,Certification Driver MWYARD 0022,+1-555-010-0022,cert.driver.mwyard.0022@example.invalid,CERT-LIC-MWYARD-0022,Available
MWYARD-D-0023,MW-YARD,Certification Driver MWYARD 0023,+1-555-010-0023,cert.driver.mwyard.0023@example.invalid,CERT-LIC-MWYARD-0023,Available
MWYARD-D-0024,MW-YARD,Certification Driver MWYARD 0024,+1-555-010-0024,cert.driver.mwyard.0024@example.invalid,CERT-LIC-MWYARD-0024,Available
MWYARD-D-0025,MW-YARD,Certification Driver MWYARD 0025,+1-555-010-0025,cert.driver.mwyard.0025@example.invalid,CERT-LIC-MWYARD-0025,Available
MWYARD-D-0026,MW-YARD,Certification Driver MWYARD 0026,+1-555-010-0026,cert.driver.mwyard.0026@example.invalid,CERT-LIC-MWYARD-0026,Available
MWYARD-D-0027,MW-YARD,Certification Driver MWYARD 0027,+1-555-010-0027,cert.driver.mwyard.0027@example.invalid,CERT-LIC-MWYARD-0027,Available
MWYARD-D-0028,MW-YARD,Certification Driver MWYARD 0028,+1-555-010-0028,cert.driver.mwyard.0028@example.invalid,CERT-LIC-MWYARD-0028,Available
MWYARD-D-0029,MW-YARD,Certification Driver MWYARD 0029,+1-555-010-0029,cert.driver.mwyard.0029@example.invalid,CERT-LIC-MWYARD-0029,Available
MWYARD-D-0030,MW-YARD,Certification Driver MWYARD 0030,+1-555-010-0030,cert.driver.mwyard.0030@example.invalid,CERT-LIC-MWYARD-0030,Available
MWYARD-D-0031,MW-YARD,Certification Driver MWYARD 0031,+1-555-010-0031,cert.driver.mwyard.0031@example.invalid,CERT-LIC-MWYARD-0031,Available
MWYARD-D-0032,MW-YARD,Certification Driver MWYARD 0032,+1-555-010-0032,cert.driver.mwyard.0032@example.invalid,CERT-LIC-MWYARD-0032,Available
MWYARD-D-0033,MW-YARD,Certification Driver MWYARD 0033,+1-555-010-0033,cert.driver.mwyard.0033@example.invalid,CERT-LIC-MWYARD-0033,Available
MWYARD-D-0034,MW-YARD,Certification Driver MWYARD 0034,+1-555-010-0034,cert.driver.mwyard.0034@example.invalid,CERT-LIC-MWYARD-0034,Available
MWYARD-D-0035,MW-YARD,Certification Driver MWYARD 0035,+1-555-010-0035,cert.driver.mwyard.0035@example.invalid,CERT-LIC-MWYARD-0035,Available
MWYARD-D-0036,MW-YARD,Certification Driver MWYARD 0036,+1-555-010-0036,cert.driver.mwyard.0036@example.invalid,CERT-LIC-MWYARD-0036,Available
MWYARD-D-0037,MW-YARD,Certification Driver MWYARD 0037,+1-555-010-0037,cert.driver.mwyard.0037@example.invalid,CERT-LIC-MWYARD-0037,Available
MWYARD-D-0038,MW-YARD,Certification Driver MWYARD 0038,+1-555-010-0038,cert.driver.mwyard.0038@example.invalid,CERT-LIC-MWYARD-0038,Available
MWYARD-D-0039,MW-YARD,Certification Driver MWYARD 0039,+1-555-010-0039,cert.driver.mwyard.0039@example.invalid,CERT-LIC-MWYARD-0039,Available
MWYARD-D-0040,MW-YARD,Certification Driver MWYARD 0040,+1-555-010-0040,cert.driver.mwyard.0040@example.invalid,CERT-LIC-MWYARD-0040,Available
MWYARD-D-0041,MW-YARD,Certification Driver MWYARD 0041,+1-555-010-0041,cert.driver.mwyard.0041@example.invalid,CERT-LIC-MWYARD-0041,Available
MWYARD-D-0042,MW-YARD,Certification Driver MWYARD 0042,+1-555-010-0042,cert.driver.mwyard.0042@example.invalid,CERT-LIC-MWYARD-0042,Available
MWYARD-D-0043,MW-YARD,Certification Driver MWYARD 0043,+1-555-010-0043,cert.driver.mwyard.0043@example.invalid,CERT-LIC-MWYARD-0043,Available
MWYARD-D-0044,MW-YARD,Certification Driver MWYARD 0044,+1-555-010-0044,cert.driver.mwyard.0044@example.invalid,CERT-LIC-MWYARD-0044,Available
MWYARD-D-0045,MW-YARD,Certification Driver MWYARD 0045,+1-555-010-0045,cert.driver.mwyard.0045@example.invalid,CERT-LIC-MWYARD-0045,Available
MWYARD-D-0046,MW-YARD,Certification Driver MWYARD 0046,+1-555-010-0046,cert.driver.mwyard.0046@example.invalid,CERT-LIC-MWYARD-0046,Available
MWYARD-D-0047,MW-YARD,Certification Driver MWYARD 0047,+1-555-010-0047,cert.driver.mwyard.0047@example.invalid,CERT-LIC-MWYARD-0047,Available
MWYARD-D-0048,MW-YARD,Certification Driver MWYARD 0048,+1-555-010-0048,cert.driver.mwyard.0048@example.invalid,CERT-LIC-MWYARD-0048,Available
MWYARD-D-0049,MW-YARD,Certification Driver MWYARD 0049,+1-555-010-0049,cert.driver.mwyard.0049@example.invalid,CERT-LIC-MWYARD-0049,Available
MWYARD-D-0050,MW-YARD,Certification Driver MWYARD 0050,+1-555-010-0050,cert.driver.mwyard.0050@example.invalid,CERT-LIC-MWYARD-0050,Available
MWYARD-D-0051,MW-YARD,Certification Driver MWYARD 0051,+1-555-010-0051,cert.driver.mwyard.0051@example.invalid,CERT-LIC-MWYARD-0051,Available
MWYARD-D-0052,MW-YARD,Certification Driver MWYARD 0052,+1-555-010-0052,cert.driver.mwyard.0052@example.invalid,CERT-LIC-MWYARD-0052,Available
MWYARD-D-0053,MW-YARD,Certification Driver MWYARD 0053,+1-555-010-0053,cert.driver.mwyard.0053@example.invalid,CERT-LIC-MWYARD-0053,Available
MWYARD-D-0054,MW-YARD,Certification Driver MWYARD 0054,+1-555-010-0054,cert.driver.mwyard.0054@example.invalid,CERT-LIC-MWYARD-0054,Available
MWYARD-D-0055,MW-YARD,Certification Driver MWYARD 0055,+1-555-010-0055,cert.driver.mwyard.0055@example.invalid,CERT-LIC-MWYARD-0055,Available
MWYARD-D-0056,MW-YARD,Certification Driver MWYARD 0056,+1-555-010-0056,cert.driver.mwyard.0056@example.invalid,CERT-LIC-MWYARD-0056,Available
MWYARD-D-0057,MW-YARD,Certification Driver MWYARD 0057,+1-555-010-0057,cert.driver.mwyard.0057@example.invalid,CERT-LIC-MWYARD-0057,Available
MWYARD-D-0058,MW-YARD,Certification Driver MWYARD 0058,+1-555-010-0058,cert.driver.mwyard.0058@example.invalid,CERT-LIC-MWYARD-0058,Available
MWYARD-D-0059,MW-YARD,Certification Driver MWYARD 0059,+1-555-010-0059,cert.driver.mwyard.0059@example.invalid,CERT-LIC-MWYARD-0059,Available
MWYARD-D-0060,MW-YARD,Certification Driver MWYARD 0060,+1-555-010-0060,cert.driver.mwyard.0060@example.invalid,CERT-LIC-MWYARD-0060,Available
MWYARD-D-0061,MW-YARD,Certification Driver MWYARD 0061,+1-555-010-0061,cert.driver.mwyard.0061@example.invalid,CERT-LIC-MWYARD-0061,Available
MWYARD-D-0062,MW-YARD,Certification Driver MWYARD 0062,+1-555-010-0062,cert.driver.mwyard.0062@example.invalid,CERT-LIC-MWYARD-0062,Available
MWYARD-D-0063,MW-YARD,Certification Driver MWYARD 0063,+1-555-010-0063,cert.driver.mwyard.0063@example.invalid,CERT-LIC-MWYARD-0063,Available
MWYARD-D-0064,MW-YARD,Certification Driver MWYARD 0064,+1-555-010-0064,cert.driver.mwyard.0064@example.invalid,CERT-LIC-MWYARD-0064,Available
MWYARD-D-0065,MW-YARD,Certification Driver MWYARD 0065,+1-555-010-0065,cert.driver.mwyard.0065@example.invalid,CERT-LIC-MWYARD-0065,Available
MWYARD-D-0066,MW-YARD,Certification Driver MWYARD 0066,+1-555-010-0066,cert.driver.mwyard.0066@example.invalid,CERT-LIC-MWYARD-0066,Available
MWYARD-D-0067,MW-YARD,Certification Driver MWYARD 0067,+1-555-010-0067,cert.driver.mwyard.0067@example.invalid,CERT-LIC-MWYARD-0067,Available
MWYARD-D-0068,MW-YARD,Certification Driver MWYARD 0068,+1-555-010-0068,cert.driver.mwyard.0068@example.invalid,CERT-LIC-MWYARD-0068,Available
MWYARD-D-0069,MW-YARD,Certification Driver MWYARD 0069,+1-555-010-0069,cert.driver.mwyard.0069@example.invalid,CERT-LIC-MWYARD-0069,Available
MWYARD-D-0070,MW-YARD,Certification Driver MWYARD 0070,+1-555-010-0070,cert.driver.mwyard.0070@example.invalid,CERT-LIC-MWYARD-0070,Available
