driverCode,branchCode,fullName,phone,email,licenseNumber,status
SEDEPOT-D-0001,SE-DEPOT,Certification Driver SEDEPOT 0001,+1-555-010-0001,cert.driver.sedepot.0001@example.invalid,CERT-LIC-SEDEPOT-0001,Available
SEDEPOT-D-0002,SE-DEPOT,Certification Driver SEDEPOT 0002,+1-555-010-0002,cert.driver.sedepot.0002@example.invalid,CERT-LIC-SEDEPOT-0002,Available
SEDEPOT-D-0003,SE-DEPOT,Certification Driver SEDEPOT 0003,+1-555-010-0003,cert.driver.sedepot.0003@example.invalid,CERT-LIC-SEDEPOT-0003,Available
SEDEPOT-D-0004,SE-DEPOT,Certification Driver SEDEPOT 0004,+1-555-010-0004,cert.driver.sedepot.0004@example.invalid,CERT-LIC-SEDEPOT-0004,Available
SEDEPOT-D-0005,SE-DEPOT,Certification Driver SEDEPOT 0005,+1-555-010-0005,cert.driver.sedepot.0005@example.invalid,CERT-LIC-SEDEPOT-0005,Available
SEDEPOT-D-0006,SE-DEPOT,Certification Driver SEDEPOT 0006,+1-555-010-0006,cert.driver.sedepot.0006@example.invalid,CERT-LIC-SEDEPOT-0006,Available
SEDEPOT-D-0007,SE-DEPOT,Certification Driver SEDEPOT 0007,+1-555-010-0007,cert.driver.sedepot.0007@example.invalid,CERT-LIC-SEDEPOT-0007,Available
SEDEPOT-D-0008,SE-DEPOT,Certification Driver SEDEPOT 0008,+1-555-010-0008,cert.driver.sedepot.0008@example.invalid,CERT-LIC-SEDEPOT-0008,Available
SEDEPOT-D-0009,SE-DEPOT,Certification Driver SEDEPOT 0009,+1-555-010-0009,cert.driver.sedepot.0009@example.invalid,CERT-LIC-SEDEPOT-0009,Available
SEDEPOT-D-0010,SE-DEPOT,Certification Driver SEDEPOT 0010,+1-555-010-0010,cert.driver.sedepot.0010@example.invalid,CERT-LIC-SEDEPOT-0010,Available
SEDEPOT-D-0011,SE-DEPOT,Certification Driver SEDEPOT 0011,+1-555-010-0011,cert.driver.sedepot.0011@example.invalid,CERT-LIC-SEDEPOT-0011,Available
SEDEPOT-D-0012,SE-DEPOT,Certification Driver SEDEPOT 0012,+1-555-010-0012,cert.driver.sedepot.0012@example.invalid,CERT-LIC-SEDEPOT-0012,Available
SEDEPOT-D-0013,SE-DEPOT,Certification Driver SEDEPOT 0013,+1-555-010-0013,cert.driver.sedepot.0013@example.invalid,CERT-LIC-SEDEPOT-0013,Available
SEDEPOT-D-0014,SE-DEPOT,Certification Driver SEDEPOT 0014,+1-555-010-0014,cert.driver.sedepot.0014@example.invalid,CERT-LIC-SEDEPOT-0014,Available
SEDEPOT-D-0015,SE-DEPOT,Certification Driver SEDEPOT 0015,+1-555-010-0015,cert.driver.sedepot.0015@example.invalid,CERT-LIC-SEDEPOT-0015,Available
SEDEPOT-D-0016,SE-DEPOT,Certification Driver SEDEPOT 0016,+1-555-010-0016,cert.driver.sedepot.0016@example.invalid,CERT-LIC-SEDEPOT-0016,Available
SEDEPOT-D-0017,SE-DEPOT,Certification Driver SEDEPOT 0017,+1-555-010-0017,cert.driver.sedepot.0017@example.invalid,CERT-LIC-SEDEPOT-0017,Available
SEDEPOT-D-0018,SE-DEPOT,Certification Driver SEDEPOT 0018,+1-555-010-0018,cert.driver.sedepot.0018@example.invalid,CERT-LIC-SEDEPOT-0018,Available
SEDEPOT-D-0019,SE-DEPOT,Certification Driver SEDEPOT 0019,+1-555-010-0019,cert.driver.sedepot.0019@example.invalid,CERT-LIC-SEDEPOT-0019,Available
SEDEPOT-D-0020,SE-DEPOT,Certification Driver SEDEPOT 0020,+1-555-010-0020,cert.driver.sedepot.0020@example.invalid,CERT-LIC-SEDEPOT-0020,Available
SEDEPOT-D-0021,SE-DEPOT,Certification Driver SEDEPOT 0021,+1-555-010-0021,cert.driver.sedepot.0021@example.invalid,CERT-LIC-SEDEPOT-0021,Available
